ID_AUFTRAG_ZPM,EIGENFREQ_ALT_STUFE_5,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,HOEHE_KONST_UEB_MITTE_DEB,Ssp_Randkonstruktion,WANDSCHIEFE_RAHMEN_P1_NUM2,DEB_I_LAGERUNG_UEBERBAU2
3678,7.9,4.655,13.93,5658,17.11,1979,200,1.109,0.65,1,0,1
12021,8.48,6.076,11.54,3845,14.49,1994,200,1.43,0.59,1,0,0
239,9,6.451,10.49,3695,18.09,2001,200,2.19,0.55,0,0,0
4278,11.7,7.889,11.4,9373,22,1982,280,1,0.8,1,0,0
12468,9,3.929,15,7656,24.168,1995,250,1,0.88,0,0,1
11960,4.76,3.264,17,6204.8,17.21,1995,200,1.24,0.65,1,0,0
11531,7.04,4.388,19.45,18014,16.13,1993,200,1.28,1.02,1,43.425,0
4519,11.56,7.135,10.7,3748,13.86,1977,200,0.928,0.56,1,0,1
24,17.5,6.153,9.32,1887,16.3,1996,130,1,0.47,0,14.445,0
23472,5.2,3.55,17.5,7634,15.934,1983,140,0.98,0.7,1,0,0
3667,8.6,6.037,11.77,4498.9,15.87,1979,200,0.999,0.6,1,0,1
11961,4.75,3.264,17,6204.8,17.21,1995,200,1.24,0.65,1,0,0
24193,8.5,4.584,12.9,3726,15.8,1995,160,1,0.59,1,0,0
24754,9.6,3.191,12.6,1608,15.46,1989,160,1.04,0.42,1,0,0
68,6.9,4.472,13.85,6079,20.38,2003,200,1,0.65,2,0,0
14636,10.1,5.11,10,1510,14.27,1994,200,1,0.48,1,0,0
11462,9,6.214,11.1,3787.3,15.94,1992,200,1.89,0.54,1,7.515,0
2203,10.3,6.699,9.6,2317,15,1980,200,1.37,0.5,1,0,0
4518,11.38,7.135,10.7,3748,13.86,1977,200,0.928,0.56,1,0,1
9520,19.25,9.797,5.7,478.57,11.6538,1970,200,0.893,0.31,1,0,0
11778,4.45,2.877,20.2,11172,20,1997,230,1.29,0.8,1,0,0
2957,9.2,5.642,11.5,3285,14.56,1973,160,1.534,0.55,1,0,0
1907,8.75,4.795,12.2,3037,14.71,1975,160,1.73,0.55,1,16.29,0
5158,6.3,5.173,11.7,2662,13.1,1976,200,0.95,0.5,1,0,1
630,9.92,5.315,11.07,2417,14.06,2002,160,1.22,0.5,1,16.065,0
14261,7.2,4.389,11.9,2071,13.23,1993,200,1.53,0.47,1,0,0
12674,9.3,5.831,11.5,4061,16.85,1995,200,1.332,0.64,1,5.76,0
6410,14.2,8.75,8.6,2896,17.06,1987,280,2.06,0.48,1,0,0
69,6.7,4.507,13.85,5546,18.31,1985,200,1,0.65,1,0,0
23500,5.3,2.834,17.7,5564,17.41,1993,160,1,0.66,1,0,0
7280,16.6,7.646,6.8,538,10.62,1978,160,0.908,0.34,1,0,1
22749,5.6,3.223,19.31,10120,17.29,2008,160,1.11,0.85,1,20.43,0
27884,8.5,5.465,10.4,2355,16.63,1978,140,1.596,0.42,2,0,1
8611,23,13.024,7.15,2612.3,14.54,1935,130,1.2,0.57,1,22.5,0
29289,11.25,5.955,9.6,1874,15.35,1978,140,0.98,0.4,2,0,1
18501,9.1,6.145,11.21,4495,18.6,1977,160,0.96,0.59,1,7.79310000000001,1
8378,17.33,11.738,5.5,535,10.47,1975,160,1.051,0.3,1,0,0
11749,8.9,5.581,11.7,3511,14.84,1995,200,1,0.48,1,0,0
4691,11.4,6.372,11.2,4338,16.754,1977,200,1.05,0.57,0,7.79310000000001,1
1071,8.4,5.608,11.3,3462,16.66,1985,200,1.23,0.55,1,7.569,1
34692,4.4,3.312,19.4,10404,16.52,1989,140,1,0.8,1,0,0
