ID_AUFTRAG_ZPM,EIGENFREQ_ALT_STUFE_5,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,HOEHE_KONST_UEB_MITTE_DEB,Ssp_Randkonstruktion,WANDSCHIEFE_RAHMEN_P1_NUM2,DEB_I_LAGERUNG_UEBERBAU2
4070,5.8,4.585,16,11990,21.47,1991,280,1,0.85,1,0,0
12391,8.07,4.767,12,2683,14.05,1999,160,1.05,0.47,0,1.2996,0
11749,8.9,5.581,11.7,3511,14.84,1995,200,1,0.48,1,0,0
28261,4.48,3.712,18,9926,16.93,2000,160,1,0.77,0,16.9155,0
25681,6.9,4.412,12.4,2940,15.76,2001,200,1,0.57,1,7.56,0
15765,7.5,4.947,12.3,3594,15.83,1990,160,1.24,0.57,1,0,0
8369,6.7,4.472,13.85,6079,20.38,1985,200,1,0.65,1,0,0
2957,9.2,5.642,11.5,3285,14.56,1973,160,1.534,0.55,1,0,0
11982,9.6,6.633,9,1581.8,13.52,1996,200,1.25,0.37,1,0,0
26824,15.4,7.108,8.82,2492,20.11,1997,250,1,0.6,1,0,0
630,9.92,5.315,11.07,2417,14.06,2002,160,1.22,0.5,1,16.065,0
26574,10,4.613,12.86,3907,16.56,1994,250,1,0.69,0,0,0
13074,8.5,5.435,13.45,7436.65,18.98,1995,230,2.32,0.72,1,0,0
12669,7.4,4.17,14,4870,17.99,1999,200,1,0.6,1,0.9,0
12267,5.4,4.224,16.05,7722.6,16.09,1996,250,1.04,0.75,0,1.83870000000001,0
15365,9.8,6.282,11.21,4495,17.8,1977,160,0.96,0.59,1,7.79310000000001,1
3667,8.6,6.037,11.77,4498.9,15.87,1979,200,0.999,0.6,1,0,1
8632,18.5,10.328,7.72,2291,14.92,1931,110,1.4,0.53,1,9,0
8611,23,13.024,7.15,2612.3,14.54,1935,130,1.2,0.57,1,22.5,0
11983,9.6,6.633,9,1581.8,13.52,1996,200,1.25,0.37,1,0,0
8202,16,6.232,7.5,508,10.2,1980,160,1.47,0.4,1,0,0
14388,11.7,7.91,9.8,3679,15.73,1992,230,1.76,0.55,1,0,0
8631,18.5,11.324,7.72,2647.3,14.34,1937,110,1.4,0.53,1,9,0
11774,11.7,7.91,9.8,3679,15.73,1992,230,1.76,0.55,1,0,0
13709,8.7,5.581,11.7,3511,14.84,1995,200,1,0.48,1,0,0
8487,15.01,9.411,6.6,756,11.1,1975,160,0.89,0.3,0,0,0
3678,7.9,4.655,13.93,5658,17.11,1979,200,1.109,0.65,1,0,1
5105,7.3,5.964,12.2,5053,15.82,1991,200,1.052,0.62,1,0.603000000000002,0
2808,6.1,4.071,18.7,14700,17.9,1973,160,1.121,0.88,1,0,1
27335,7,4.401,13.4,4660,18.41,2000,140,1,0.6,2,12.78,0
239,9,6.451,10.49,3695,18.09,2001,200,2.19,0.55,0,0,0
19834,5.2,3.55,17.5,7634,15.934,1983,140,0.98,0.7,1,0,0
3677,7.6,4.655,13.93,5658,17.11,1979,200,1.109,0.65,1,0,1
1902,11.9,6.325,7,545,14,1994,160,1.038,0.3,1,0,0
15740,6.3,3.853,12.2,1950,14.63,1983,120,1.57,0.46,2,0,1
12674,9.3,5.831,11.5,4061,16.85,1995,200,1.332,0.64,1,5.76,0
14377,12.2,6.325,7,545,14,1994,160,1.038,0.3,1,0,0
69,6.7,4.507,13.85,5546,18.31,1985,200,1,0.65,1,0,0
