n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,HOEHE_KONST_UEB_MITTE_DEB,Ssp_Randkonstruktion,WANDSCHIEFE_RAHMEN_P1_NUM2,DEB_I_LAGERUNG_UEBERBAU2
5.57,9.32,1647,17.36,1996,140,1,0.45,0,14.49,0
4.472,13.85,6079,20.38,2003,200,1,0.65,1,0,0
4.507,13.85,5546,18.31,1985,200,1,0.65,0,0,0
6.514,10.49,3981,19.12,2001,200,2.18,0.55,0,0,0
5.315,11.07,2417,14.06,2002,160,1.22,0.5,1,16.065,0
5.315,11.07,2417,14.06,2002,160,1.22,0.5,1,16.065,0
28.358,3.3,315,8.15,1929,200,0.757,0.35,1,0,1
28.358,3.3,315,8.15,1929,200,0.757,0.35,1,0,1
5.608,11.3,3462,16.66,1985,200,1.23,0.55,1,7.569,1
5.608,11.3,3462,16.66,1985,200,1.23,0.55,1,7.569,1
8.339,8.4,1855,13.22,1988,160,1,0.44,1,0,0
5.765,11,3221,16.33,1982,160,1.24,0.53,1,15.003,1
12.964,4.8,307,8.49,1957,200,0.8,0.32,1,0,1
3.9,12.6,2077,13.37,1993,200,1.3,0.47,1,0,0
4.401,11.9,2292,14.56,1993,200,1.53,0.47,1,0,0
4.795,12.2,3037,14.71,1975,160,1.73,0.55,1,16.29,0
4.475,17.2,14206,20,1989,200,1.052,0.94,1,22.86,0
5.551,11,2743,15,1980,200,1.31,0.51,1,0,0
6.699,9.6,2317,15,1980,200,1.37,0.5,1,0,0
6.699,9.6,2317,15,1980,200,1.37,0.5,1,0,0
4.651,16.5,14269,21.96,1981,250,1,0.85,1,0,0
4.651,16.5,14269,21.96,1981,250,1,0.85,1,0,0
4.071,18.7,14700,17.9,1973,160,1.121,0.88,1,0,1
4.071,18.7,14700,17.9,1973,160,1.121,0.88,0,0,1
5.642,11.5,3285,14.56,1973,160,1.534,0.55,1,0,0
6.037,11.77,4498.9,15.87,1979,200,0.999,0.6,1,0,1
6.037,11.77,4498.9,15.87,1979,200,0.999,0.6,1,0,1
6.084,11.3,4058.2,16.59,1989,200,1,0.61,1,0,0
6.084,11.3,4058.2,16.59,1989,200,1,0.61,1,0,0
4.588,15.95,10246.3,18.56,1990,200,1,0.8,1,0,0
4.588,15.95,10246.3,18.56,1990,200,1,0.8,1,0,0
4.655,13.93,5658,17.11,1979,200,1.109,0.65,1,0,1
4.585,16,11990,21.47,1991,280,1,0.85,1,0,0
4.585,16,11990,21.47,1991,280,1,0.85,1,0,0
7.889,11.4,9373,22,1982,280,1,0.8,1,0,0
7.889,11.4,9373,22,1982,280,1,0.8,1,0,0
11.65,5.49,610.6,12.22,1987,280,0.95,0.32,1,0.054000000000002,1
11.65,5.49,610.6,12.22,1987,280,0.95,0.32,0,0.054000000000002,1
7.135,10.7,3748,13.86,1977,200,0.928,0.56,1,0,1
5.59,9.9,1677.38,13.79,1977,200,1.12,0.51,1,0,0
18.099,3.9,307.5,10.012,1977,200,0.79,0.28,0,0,1
6.372,11.2,4338,16.754,1977,200,1.05,0.57,0,7.79310000000001,1
6.372,11.2,4338,16.754,1977,200,1.05,0.57,0,7.79310000000001,1
