ID_AUFTRAG_ZPM,EIGENFREQ_ALT_STUFE_5,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,HOEHE_KONST_UEB_MITTE_DEB,Ssp_Randkonstruktion,WANDSCHIEFE_RAHMEN_P1_NUM2,DEB_I_LAGERUNG_UEBERBAU2
23,13.7,5.57,9.32,1647,17.36,1996,140,1,0.45,0,14.49,0
24,17.5,6.153,9.32,1887,16.3,1996,130,1,0.47,0,14.445,0
68,6.9,4.472,13.85,6079,20.38,2003,200,1,0.65,2,0,0
240,9.3,6.514,10.49,3981,19.12,2001,200,2.18,0.55,1,0,0
629,9.92,5.315,11.07,2417,14.06,2002,160,1.22,0.5,1,16.065,0
1070,8.4,5.608,11.3,3462,16.66,1985,200,1.23,0.55,1,7.569,1
1071,8.4,5.608,11.3,3462,16.66,1985,200,1.23,0.55,1,7.569,1
1345,8.39,4.04,13.2,2802,13.95,1988,160,1.187,0.5,1,0,1
1346,13.96,8.339,8.4,1855,13.22,1988,160,1,0.44,1,0,0
1431,9.8,5.765,11,3221,16.33,1982,160,1.24,0.53,1,15.003,1
1793,24,12.964,4.8,307,8.49,1957,200,0.8,0.32,1,0,1
1882,8.1,5.797,12,4770,16.89,1976,200,1.25,0.66,1,2.73600000000001,0
1883,6.6,3.9,12.6,2077,13.37,1993,200,1.3,0.47,1,0,0
1884,7.2,4.401,11.9,2292,14.56,1993,200,1.53,0.47,1,0,0
1907,8.75,4.795,12.2,3037,14.71,1975,160,1.73,0.55,1,16.29,0
1958,6.17,4.462,14.6,5133,14,1964,200,1.07,0.64,0,0,0
2029,6.45,4.475,17.2,14206,20,1989,200,1.052,0.94,1,22.86,0
2198,8.6,5.551,11,2743,15,1980,200,1.31,0.51,1,0,0
2199,8.6,5.551,11,2743,15,1980,200,1.31,0.51,1,0,0
2203,10.3,6.699,9.6,2317,15,1980,200,1.37,0.5,1,0,0
2204,10.5,6.699,9.6,2317,15,1980,200,1.37,0.5,1,0,0
2779,6,4.651,16.5,14269,21.96,1981,250,1,0.85,1,0,0
2780,6,4.651,16.5,14269,21.96,1981,250,1,0.85,1,0,0
2880,24.41,9.73,5.2,466,16.61,1982,200,0.949,0.28,1,0,1
2958,9.1,5.642,11.5,3285,14.56,1973,160,1.534,0.55,1,0,0
3666,8.5,6.037,11.77,4498.9,15.87,1979,200,0.999,0.6,1,0,1
3668,8.72,6.084,11.3,4058.2,16.59,1989,200,1,0.61,1,0,0
3669,7.95,6.084,11.3,4058.2,16.59,1989,200,1,0.61,1,0,0
3675,6.48,4.588,15.95,10246.3,18.56,1990,200,1,0.8,1,0,0
3676,6.48,4.588,15.95,10246.3,18.56,1990,200,1,0.8,1,0,0
4071,6,4.585,16,11990,21.47,1991,280,1,0.85,1,0,0
4278,11.7,7.889,11.4,9373,22,1982,280,1,0.8,1,0,0
4279,11.7,7.889,11.4,9373,22,1982,280,1,0.8,1,0,0
4292,16.9,11.65,5.49,610.6,12.22,1987,280,0.95,0.32,1,0.054000000000002,1
4293,17,11.65,5.49,610.6,12.22,1987,280,0.95,0.32,1,0.054000000000002,1
4518,11.38,7.135,10.7,3748,13.86,1977,200,0.928,0.56,1,0,1
4519,11.56,7.135,10.7,3748,13.86,1977,200,0.928,0.56,1,0,1
4523,11.7,5.616,9.9,1677.38,13.66,1977,200,1.12,0.51,1,0,0
4524,11.7,5.59,9.9,1677.38,13.79,1977,200,1.12,0.51,1,0,0
4691,11.4,6.372,11.2,4338,16.754,1977,200,1.05,0.57,0,7.79310000000001,1
4692,10.4,6.372,11.2,4338,16.754,1977,200,1.05,0.57,0,7.79310000000001,1
5104,7.3,5.931,12.2,5199,16.46,1991,200,1.052,0.62,1,0.539999999999995,0
5157,6.2,5.173,11.7,2662,13.1,1976,200,0.95,0.5,1,0,1
5158,6.3,5.173,11.7,2662,13.1,1976,200,0.95,0.5,1,0,1
5708,10.9,5.74,11.8,3829,14.79,1977,200,1,0.56,1,0,1
5709,5.6,5.91,11.8,3829,13.95,1977,200,1,0.56,1,0,1
6151,5.4,4.138,18.53,13621,16.65,1986,160,1.6,0.9,1,0,0
6409,14.1,8.75,8.6,2896,17.06,1987,280,2.06,0.48,1,0,0
6410,14.2,8.75,8.6,2896,17.06,1987,280,2.06,0.48,1,0,0
6755,21.2,9.949,6.1,561,10.1,1934,200,1.12,0.39,1,4.5,1
6756,21,10.056,6.1,715,12.6,1934,200,1.125,0.39,0,4.5,1
6949,21.4,14.839,5.3,507,7.2,1912,130,0.849,0.4,1,0,1
7280,16.6,7.646,6.8,538,10.62,1978,160,0.908,0.34,1,0,1
7726,14,8.243,10,4332,15.73,1969,200,0.94,0.65,1,0,1
7727,14,8.243,10,4332,15.73,1969,200,0.94,0.65,1,0,1
7737,5.08,4.208,16.2,7468,15.11,1991,200,1.04,0.75,1,0,0
7738,5.18,4.278,15.85,7891,16.86,1991,200,1.12,0.75,0,0,0
7755,5,3.766,15.3,4520.9,14.35,1985,160,1.03,0.6,1,0,0
7756,4.96,3.766,15.3,4520.9,14.35,1983,160,1.03,0.6,1,0,0
8027,11.3,5.011,11.7,2817,14.773,1981,140,1.61,0.59,1,0,0
8028,11.2,5.011,11.7,2817,14.773,1981,140,1.61,0.59,1,0,0
8198,7.15,4.273,15.5,6893,16.14,1980,160,1.13,0.7,1,0,0
8199,7.05,4.273,15.5,6893,16.14,1980,160,1.13,0.7,1,0,0
8203,16.1,6.232,7.5,508,10.2,1980,160,1.47,0.4,1,0,0
8223,9.13,6.357,12.03,6065.2,17.68,1979,160,1.8,0.65,0,13.5,0
8224,8.99,6.36,12.03,5411.5,15.76,1979,160,1.8,0.65,0,13.5,0
8351,7.9,4.611,12.52,3373,15.93,2003,200,1,0.6,1,0,1
8378,17.33,11.738,5.5,535,10.47,1975,160,1.051,0.3,1,0,0
8379,17.33,11.71,5.5,535,10.52,1975,160,1.051,0.3,1,0,0
8489,15.01,7.588,7.15,616,10.1,1972,160,0.89,0.3,1,0,1
8514,9.86,3.666,16.08,6772,18.6,2009,200,1,0.71,1,30.6,0
8610,25,12.842,7.15,2384.3,13.65,1935,120,1.2,0.58,2,11.997,0
8633,17.5,10.328,6.8,1357,14.68,1976,110,1.375,0.4,2,0,0
9451,5.8,2.848,16.4,4304,18.1,1983,160,1.23,0.72,1,18.9,0
9452,5.7,2.848,16.4,4304,18.1,1983,160,1.23,0.72,1,18.9,0
9466,8.37,4.594,9.6,1289,17.74,1973,140,0.974,0.63,1,19.8,1
9467,8.7,4.508,9.6,1289,18.43,1973,140,0.974,0.63,1,19.8,1
9519,19.12,9.797,5.7,478.57,11.6538,1970,200,0.893,0.31,1,0,1
9520,19.25,9.797,5.7,478.57,11.6538,1970,200,0.893,0.31,1,0,0
11461,8.9,6.214,11.1,3787.3,15.94,1992,200,1.89,0.54,1,7.515,0
11462,9,6.214,11.1,3787.3,15.94,1992,200,1.89,0.54,1,7.515,0
11734,8.4,5.298,13.45,8141,21.87,1995,230,1.83,0.72,1,0,0
