ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB
49032,5.147,17.07,20632,22.63,2015,160,2.98,12.74
43409,5.068,17.36,18565,19.64,2015,160,2.87,12.59
51177,2.836,21.32,17072,25.35,2011,100,2.7,12.3
561,4.232,21.15,35809,24.65,2011,200,3.7,11.6
14710,4.232,21.15,35809,24.65,2011,200,3.7,11.6
7815,26.783,4.7,1918,13.52,1937,230,0.897,9.999
7897,22.529,4.4,569,7.38,1900,150,0.9,9.999
8198,4.273,15.5,6893,16.14,1980,160,1.13,9.999
8199,4.273,15.5,6893,16.14,1980,160,1.13,9.999
8235,27.728,5,1519,7.8,1905,120,0.78,9.999
8236,27.938,5,2068,10.46,1905,120,0.78,9.999
8289,36.476,3,684,15.66,1958,120,1.24,9.999
8295,36.476,3,684,15.66,1958,120,1.24,9.999
8296,36.476,3,684,15.66,1958,120,1.24,9.999
8297,36.476,3,684,15.66,1958,120,1.24,9.999
8299,38.758,3,603.6,12.24,1958,120,1.24,9.999
8300,38.758,3,603.6,12.24,1958,120,1.24,9.999
8301,38.758,3,603.6,12.24,1958,120,1.24,9.999
8305,38.758,3,603.6,12.24,1958,120,1.24,9.999
8338,20.973,5.5,2163,13.26,2005,200,1.471,9.999
8339,20.973,5.5,2163,13.26,1929,200,1.471,9.999
8352,7.272,12.5,6122,11.7,2003,200,1.09,9.999
8353,7.732,12.5,6122,10.35,2003,200,1.09,9.999
8699,18.032,5.8,1788,11.99,1929,130,1.069,9.999
8700,11.528,8.5,4726,16.81,1935,130,1.102,9.999
8701,11.528,8.5,4726,16.81,1929,130,1.102,9.999
8702,11.528,8.5,4726,16.81,1935,130,1.102,9.999
8703,11.528,8.5,4726,16.81,1929,130,1.102,9.999
8738,17.751,6.9,9393,32.45,1914,130,1.22,9.999
8848,8.383,10.5,6661,19.24,1907,140,0.888,9.999
8849,8.085,10.5,3697,11.48,1907,140,0.888,9.999
8987,14.686,6,1049,9.26,1912,140,0.971,9.999
8988,12.393,6.56,1472,12.77,1914,140,1.01,9.999
8991,18.315,5,650,7.65,2014,100,0.896,9.999
9003,21.089,5,979,8.69,1909,130,0.955,9.999
9004,21.089,5,979,8.69,1909,130,0.971,9.999
9009,8.738,8.85,1346,7.09,1985,130,1.461,9.999
9010,8.738,8.85,1346,7.09,1985,130,1.792,9.999
9035,17.731,5,704,8.84,1902,90,1.65,9.999
9065,15.596,5.5,985,10.92,1902,110,1.68,9.999
9066,15.596,5.5,985,10.92,1902,110,1.68,9.999
9069,15.377,6.9,1729,7.96,1903,110,0.91,9.999
9072,22.025,5,972,7.91,1941,160,0.948,9.999
9073,22.025,5,972,7.91,1941,160,0.948,9.999
9075,17.402,5,698,9.1,1906,160,1.07,9.999
9076,17.402,5,698,9.1,1906,160,1.07,9.999
9077,18.817,5,661,7.37,1906,160,0.894,9.999
9081,21.257,5,681,5.95,1904,90,0.825,9.999
9082,20.213,5,681,6.58,1904,90,0.825,9.999
9171,9.086,10.4,6169.4,15.76,1934,140,1.21,9.999
9172,9.086,10.4,6169.4,15.76,1934,140,1.21,9.999
9186,19.713,5.1,1044.2,9.8,1924,140,1.308,9.999
9187,19.713,5.1,1044.2,9.8,1924,140,1.308,9.999
