ID_AUFTRAG_ZPM,STW_NUM,n0_3,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB,Ssp_Randkonstruktion
8,6.2,16.833,1965,11.58,1932,140,1.018,1.017,0
9,6.2,16.833,1965,11.58,1932,130,1.005,1.012,0
17,12.1,5.605,4093.9,15,1992,140,1.29,3,1
19,19.5,2.714,11737.4,27.2,1981,120,1,1,1
20,5.9,20.286,3280,16.23,1903,90,1.011,1.01,0
23,9.32,5.57,1647,17.36,1996,140,1,1,0
24,9.32,6.153,1887,16.3,1996,130,1,1,0
68,13.85,4.472,6079,20.38,2003,200,1,1,1
123,21.2,3.634,24317,22.49,1995,160,1.16,3,1
124,19.5,3.867,17477,19.94,1995,160,1.06,3,1
125,19.5,3.902,17477,19.59,1995,200,1.05,3,1
128,14.55,4.43,7979,22.38,2000,200,1,1,1
171,8.6,17.56,11778,17.23,1918,160,1,1,1
179,17.3,4.318,13483,19.92,2004,160,1.9,1,1
188,21.35,3.457,22304,22.16,1999,230,1.13,3,1
200,19.2,4.584,32700,28.26,2004,230,2.19,3,1
236,5.94,10.962,750,12.37,2001,200,1.2,1,0
237,5.94,10.971,750,12.35,2001,200,1.2,1,0
240,10.49,6.514,3981,19.12,2001,200,2.18,1,0
241,8.97,7.029,2249,17.35,2001,200,1.93,5.6,1
244,4.62,15.364,520,11.93,1999,200,1.34,1.59,1
245,4.62,15.308,530,12.25,1999,200,1.34,1.59,1
319,13.73,5.005,6336,17.56,2002,200,1.05,3.61,1
321,10.48,7.49,4525,16.5,2001,200,1.89,1.89,1
327,12.4,6.862,10227,22.67,2002,200,1.55,1.55,1
457,25,2.598,23290,21.8,2004,140,1.41,1.18,1
458,25,2.595,23290,21.85,2004,140,1.41,1.18,1
459,6.9,16.391,3041.2,12.322,1933,190,0.932,0.87,0
460,6.9,29.375,9687,12.22,1994,190,0.98,0.812,1
559,23.5,3.429,39011,26.85,2010,200,1.24,6.8,0
561,21.15,4.232,35809,24.65,2011,200,3.7,11.6,1
630,11.07,5.315,2417,14.06,2002,160,1.22,2,1
683,13.9,3.848,5366,23.95,1999,140,1.09,1.54,1
685,18.2,4.312,19832,23.99,2002,160,2.32,2.222,2
688,17.6,3.874,9836,16.85,2002,160,1.15,1.15,1
689,17.6,3.874,9836,16.85,2002,160,1.15,1.15,1
694,7.8,9.055,1604,13.04,1996,160,1,1,0
695,7.8,9.055,1604,13.04,1996,160,1,1,1
697,15.6,5.238,12738,19.34,1996,200,2.563,1,0
704,5.7,16.2,887,7.9,1958,160,0.932,1.965,1
705,5.3,18.442,856,7.87,1929,160,0.885,1.76,0
717,3.5,32.497,870.9,13.56,1934,200,1.02,2.21,1
718,3.5,32.497,870.9,13.56,1934,200,1.02,2.21,1
725,5.8,12.151,2037,30.08,1935,190,1.3,1.6,1
726,5.8,12.11,2235,33.23,1935,190,1.3,1.6,0
940,4.4,21.63,673,9.47,1934,200,0.82,0.818,1
941,4.4,21.63,673,9.47,1934,200,0.82,0.818,1
954,2.9,45.846,818.2,13.58,1933,200,0.761,0.768,1
955,2.9,45.463,818.2,13.81,1933,200,0.761,0.768,1
960,3.3,28.358,315,8.15,1929,200,0.757,0.768,1
961,3.3,28.358,315,8.15,1929,200,0.757,0.768,1
962,3,40.613,454.3,8.39,1933,200,0.766,0.766,1
963,4.2,22.27,536,8.57,1953,200,0.774,0.774,1
964,4.2,22.521,536,8.38,1953,200,0.774,0.774,1
989,4,28.847,986,11.42,1931,200,0.875,0.875,1
990,4,29.209,825,9.32,1931,200,0.875,0.875,0
998,2.85,33.628,254,8.4,1934,200,1.28,1.8,0
999,2.85,33.628,254,8.4,1934,200,1.28,1.8,1
1000,4.35,29.084,1203,9.8,1930,200,1.35,3.47,1
1002,4.35,29.084,1203,9.8,1930,200,1.35,3.47,0
1070,11.3,5.608,3462,16.66,1985,200,1.23,3.18,1
1071,11.3,5.608,3462,16.66,1985,200,1.23,3.18,1
1084,4.54,16.683,415,8.66,1930,200,1.05,1.56,1
1085,4.54,16.683,415,8.66,1930,200,1.05,1.56,1
1106,4.3,56.961,4949.6,11.01,1934,200,1.13,1.77,1
1107,4.3,58.328,4949.6,10.5,1934,200,1.13,1.77,1
1152,5.4,10.593,348,9,1986,120,1.105,3,1
1153,5.4,10.593,348,9,1986,120,1.105,3,1
1185,3,21.869,157,10,1979,100,1.306,3,1
1186,3,21.869,157,10,1979,100,1.306,3,1
1188,4.25,14.81,232,8,1976,100,2.587,2.587,1
1189,4.25,14.81,232,8,1976,100,2.587,2.587,1
1241,17.94,4.227,14879,19.84,1989,160,1.63,1.63,1
1242,15.96,5.14,13497,19.43,1989,160,1.6,1.6,1
1260,4.6,19.34,543,8,1910,70,1.105,3.126,0
1263,8.6,7.788,1479,11,1910,70,0.664,3.691,0
1264,8.6,8.122,1901,13,1910,70,0.664,3.691,0
1267,6.8,11.89,1225,10,1913,70,0.9,1.556,0
