ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,HOEHE_KONST_UEB_MITTE_DEB,Ssp_Randkonstruktion,WANDSCHIEFE_RAHMEN_P1_NUM2,DEB_I_LAGERUNG_UEBERBAU2
17,5.605,12.1,4093.9,15,1992,140,1.29,0.62,1,5.202,0
19,2.714,19.5,11737.4,27.2,1981,120,1,0.8,1,4.58999999999999,0
68,4.472,13.85,6079,20.38,2003,200,1,0.65,1,0,0
124,3.867,19.5,17477,19.94,1995,160,1.06,1,1,0,0
125,3.902,19.5,17477,19.59,1995,200,1.05,1,1,0,0
128,4.43,14.55,7979,22.38,2000,200,1,0.75,1,3.31200000000001,0
179,4.318,17.3,13483,19.92,2004,160,1.9,0.9,1,0.702000000000001,0
239,6.451,10.49,3695,18.09,2001,200,2.19,0.55,1,0,0
241,7.029,8.97,2249,17.35,2001,200,1.93,0.45,1,1.17,0
244,15.364,4.62,520,11.93,1999,200,1.34,0.31,1,0,0
245,15.308,4.62,530,12.25,1999,200,1.34,0.31,1,0,0
319,5.005,13.73,6336,17.56,2002,200,1.05,0.71,1,0,0
321,7.49,10.48,4525,16.5,2001,200,1.89,0.63,1,0.116999999999996,0
327,6.862,12.4,10227,22.67,2002,200,1.55,0.8,1,0,0
460,29.375,6.9,9687,12.22,1994,190,0.98,0.52,1,0,0
629,5.315,11.07,2417,14.06,2002,160,1.22,0.5,1,16.065,0
630,5.315,11.07,2417,14.06,2002,160,1.22,0.5,1,16.065,0
688,3.874,17.6,9836,16.85,2002,160,1.15,0.84,1,0,0
689,3.874,17.6,9836,16.85,2002,160,1.15,0.84,1,0,0
694,9.055,7.8,1604,13.04,1996,160,1,0.47,1,24.2181,0
695,9.055,7.8,1604,13.04,1996,160,1,0.47,1,24.2181,0
704,16.2,5.7,887,7.9,1958,160,0.932,0.45,1,0,0
940,21.63,4.4,673,9.47,1934,200,0.82,0.4,1,0,1
941,21.63,4.4,673,9.47,1934,200,0.82,0.4,1,0,1
963,22.27,4.2,536,8.57,1953,200,0.774,0.35,1,0,1
964,22.521,4.2,536,8.38,1953,200,0.774,0.35,1,0,1
1070,5.608,11.3,3462,16.66,1985,200,1.23,0.55,1,7.569,1
1071,5.608,11.3,3462,16.66,1985,200,1.23,0.55,1,7.569,1
1152,10.593,5.4,348,9,1986,120,1.105,0.27,1,0,0
1153,10.593,5.4,348,9,1986,120,1.105,0.27,1,0,0
1241,4.227,17.94,14879,19.84,1989,160,1.63,0.93,1,0,0
1242,5.14,15.96,13497,19.43,1989,160,1.6,0.93,1,0,0
1314,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1315,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1316,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1317,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1318,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1319,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1320,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1321,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1322,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1323,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1324,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1325,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1338,5.465,13,5186,15,1982,140,1,0.65,1,0,1
1343,12.612,8.45,4115,12.52,1951,140,0.845,0.67,1,11.997,1
1345,4.04,13.2,2802,13.95,1988,160,1.187,0.5,1,0,1
1346,8.339,8.4,1855,13.22,1988,160,1,0.44,1,0,0
1431,5.765,11,3221,16.33,1982,160,1.24,0.53,1,15.003,1
1458,19.102,4.7,832,11.53,1988,160,1.951,0.36,1,0,0
1459,19.102,4.7,832,11.53,1988,160,1.951,0.36,1,0,0
1599,13.484,5.8,909,10.9,1973,110,0.95,0.45,1,0,0
1684,6.367,13.3,9201,17.9,1972,130,1.01,0.93,1,0,0
1793,12.964,4.8,307,8.49,1957,200,0.8,0.32,1,0,1
1797,11.474,7.2,1560,10.88,1937,200,1.169,0.56,1,0,1
1798,11.474,7.2,1560,10.88,1937,200,1.169,0.56,1,0,1
1882,5.797,12,4770,16.89,1976,200,1.25,0.66,1,2.73600000000001,0
1883,3.9,12.6,2077,13.37,1993,200,1.3,0.47,1,0,0
1884,4.401,11.9,2292,14.56,1993,200,1.53,0.47,1,0,0
1888,9.823,6.6,869,11.71,1993,200,1.82,0.35,1,0,0
1890,14.783,5.6,1196,13.73,1933,200,1.059,0.43,1,0,0
1901,14.565,5.6,761,9,1931,160,1.442,0.44,1,0,0
1902,6.325,7,545,14,1994,160,1.038,0.3,1,0,0
1903,13.142,5,350,8,1981,160,1.18,0.3,1,0,0
1904,11.585,6,705,10,1931,160,1.33,0.41,1,0,0
1907,4.795,12.2,3037,14.71,1975,160,1.73,0.55,1,16.29,0
1944,5.963,12.89,6110,15.36,1974,160,1.82,0.66,1,0,0
1959,18.748,4.5,701,12,1967,200,0.881,0.35,1,0,0
1996,4.063,13.5,4444,20,1994,160,1.02,0.53,1,0.9,0
2007,5.887,10.8,2293,12,2004,100,2.037,0.45,1,0,0
2029,4.475,17.2,14206,20,1989,200,1.052,0.94,1,22.86,0
2141,10.585,7.05,1280,11.41,1930,160,1.079,0.55,1,0,1
2142,10.585,7.05,1280,11.41,1930,160,1.079,0.55,1,0,1
2144,12.72,5.8,679,9.15,1940,160,1.019,0.45,1,0,1
2145,12.737,5.8,788,10.59,1940,160,1.019,0.45,1,0,1
2198,5.551,11,2743,15,1980,200,1.31,0.51,1,0,0
2199,5.551,11,2743,15,1980,200,1.31,0.51,1,0,0
2203,6.699,9.6,2317,15,1980,200,1.37,0.5,1,0,0
2204,6.699,9.6,2317,15,1980,200,1.37,0.5,1,0,0
2272,5.933,11.65,5200,19.79,1989,100,1.302,0.65,1,0,0
2418,14.476,5.5,830,10.68,1970,160,0.843,0.28,1,4.5,1
2419,14.476,5.5,830,10.68,1970,160,0.843,0.28,1,4.5,1
2420,4.948,15.35,10261,18.63,1975,160,0.99,0.83,1,0,0
2421,4.944,15.35,10261,18.66,1975,160,0.99,0.83,1,0,0
2476,9.698,7,1264,13.81,1994,100,1,0.4,1,0,0
2477,9.793,7,1230,13.18,1994,100,1,0.4,1,0,0
2496,5.305,13.84,6454,15.42,1982,160,1.18,0.7,1,0,0
2497,5.305,13.84,6454,15.42,1982,160,1.18,0.7,1,0,0
2503,4.511,13.4,5666,21.31,1985,160,2.09,0.6,1,0,0
2505,4.511,13.4,5666,21.31,1985,160,2.09,0.6,1,0,0
2554,10.604,6,717,12.14,1997,140,1,0.345,1,0,0
2555,10.604,6,717,12.14,1997,140,1,0.345,1,0,0
2566,5.561,12.4,4361,14.72,1981,160,1.11,0.6,1,0,0
2567,5.603,12.4,4361,14.5,1981,160,1.11,0.6,1,0,0
2575,10.407,6.7,1003,11.34,1981,160,1.13,0.4,1,0,0
2576,10.352,6.7,1003,11.46,1981,160,1.13,0.4,1,0,0
