ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,HOEHE_KONST_UEB_MITTE_DEB,Ssp_Randkonstruktion,WANDSCHIEFE_RAHMEN_P1_NUM2,DEB_I_LAGERUNG_UEBERBAU2
8,16.833,6.2,1965,11.58,1932,140,1.018,0.52,0,0,1
9,16.833,6.2,1965,11.58,1932,130,1.005,0.52,0,0,1
17,5.605,12.1,4093.9,15,1992,140,1.29,0.62,1,5.202,0
19,2.714,19.5,11737.4,27.2,1981,120,1,0.8,1,4.58999999999999,0
20,20.286,5.9,3280,16.23,1903,90,1.011,0.55,1,0,1
23,5.57,9.32,1647,17.36,1996,140,1,0.45,0,14.49,0
24,6.153,9.32,1887,16.3,1996,130,1,0.47,0,14.445,0
68,4.472,13.85,6079,20.38,2003,200,1,0.65,2,0,0
69,4.507,13.85,5546,18.31,1985,200,1,0.65,1,0,0
123,3.634,21.2,24317,22.49,1995,160,1.16,1.1,1,0,0
124,3.867,19.5,17477,19.94,1995,160,1.06,1,1,0,0
125,3.902,19.5,17477,19.59,1995,200,1.05,1,1,0,0
128,4.43,14.55,7979,22.38,2000,200,1,0.75,1,3.31200000000001,0
171,17.56,8.6,11778,17.23,1918,160,1,0.97,1,0,1
179,4.318,17.3,13483,19.92,2004,160,1.9,0.9,1,0.702000000000001,0
188,3.457,21.35,22304,22.16,1999,230,1.13,1,1,0,0
236,10.962,5.94,750,12.37,2001,200,1.2,0.36,0,1.06200000000001,0
237,10.971,5.94,750,12.35,2001,200,1.2,0.36,0,0.971999999999998,0
239,6.451,10.49,3695,18.09,2001,200,2.19,0.55,0,0,0
240,6.514,10.49,3981,19.12,2001,200,2.18,0.55,1,0,0
241,7.029,8.97,2249,17.35,2001,200,1.93,0.45,1,1.17,0
244,15.364,4.62,520,11.93,1999,200,1.34,0.31,1,0,0
245,15.308,4.62,530,12.25,1999,200,1.34,0.31,1,0,0
319,5.005,13.73,6336,17.56,2002,200,1.05,0.71,1,0,0
321,7.49,10.48,4525,16.5,2001,200,1.89,0.63,1,0.116999999999996,0
327,6.862,12.4,10227,22.67,2002,200,1.55,0.8,1,0,0
457,2.598,25,23290,21.8,2004,140,1.41,1.1,1,0,0
458,2.595,25,23290,21.85,2004,140,1.41,1.1,1,0,0
459,16.391,6.9,3041.2,12.322,1933,190,0.932,0.65,0,0,1
460,29.375,6.9,9687,12.22,1994,190,0.98,0.52,1,0,0
629,5.315,11.07,2417,14.06,2002,160,1.22,0.5,1,16.065,0
630,5.315,11.07,2417,14.06,2002,160,1.22,0.5,1,16.065,0
683,3.848,13.9,5366,23.95,1999,140,1.09,0.59,1,23.9445,1
685,4.312,18.2,19832,23.99,2002,160,2.32,1,2,0,0
688,3.874,17.6,9836,16.85,2002,160,1.15,0.84,1,0,0
689,3.874,17.6,9836,16.85,2002,160,1.15,0.84,1,0,0
694,9.055,7.8,1604,13.04,1996,160,1,0.47,1,24.2181,0
695,9.055,7.8,1604,13.04,1996,160,1,0.47,1,24.2181,0
697,5.238,15.6,12738,19.34,1996,200,2.563,0.8,0,0,0
704,16.2,5.7,887,7.9,1958,160,0.932,0.45,1,0,0
705,18.442,5.3,856,7.87,1929,160,0.885,0.45,1,0,0
725,12.151,5.8,2037,30.08,1935,190,1.3,0.57,1,0,1
726,12.11,5.8,2235,33.23,1935,190,1.3,0.57,0,0,1
940,21.63,4.4,673,9.47,1934,200,0.82,0.4,1,0,1
941,21.63,4.4,673,9.47,1934,200,0.82,0.4,1,0,1
963,22.27,4.2,536,8.57,1953,200,0.774,0.35,1,0,1
964,22.521,4.2,536,8.38,1953,200,0.774,0.35,1,0,1
989,28.847,4,986,11.42,1931,200,0.875,0.49,1,0,1
990,29.209,4,825,9.32,1931,200,0.875,0.49,1,0,1
1000,29.084,4.35,1203,9.8,1930,200,1.35,0.47,1,0,1
1002,29.084,4.35,1203,9.8,1930,200,1.35,0.47,1,0,1
1070,5.608,11.3,3462,16.66,1985,200,1.23,0.55,1,7.569,1
1071,5.608,11.3,3462,16.66,1985,200,1.23,0.55,1,7.569,1
1084,16.683,4.54,415,8.66,1930,200,1.05,0.3,1,3.996,1
1085,16.683,4.54,415,8.66,1930,200,1.05,0.3,1,3.996,1
1152,10.593,5.4,348,9,1986,120,1.105,0.27,1,0,0
1153,10.593,5.4,348,9,1986,120,1.105,0.27,1,0,0
1188,14.81,4.25,232,8,1976,100,2.587,0.22,1,0,0
1189,14.81,4.25,232,8,1976,100,2.587,0.22,1,0,0
1241,4.227,17.94,14879,19.84,1989,160,1.63,0.93,1,0,0
1242,5.14,15.96,13497,19.43,1989,160,1.6,0.93,1,0,0
1260,19.34,4.6,543,8,1910,70,1.105,0.41,0,0,0
1263,7.788,8.6,1479,11,1910,70,0.664,0.55,0,0,0
1264,8.122,8.6,1901,13,1910,70,0.664,0.55,0,0,0
1267,11.89,6.8,1225,10,1913,70,0.9,0.55,0,0,0
1268,31.93,4,952,9,1913,70,1.163,0.45,0,0,0
1270,26.297,4,574,8,1913,70,0.998,0.45,0,0,0
1271,11.89,6.8,1225,10,1913,70,0.9,0.55,0,0,0
1273,31.93,4,952,9,1913,70,1.163,0.45,0,0,0
1274,26.297,4,574,8,1913,70,0.998,0.45,0,0,0
1290,21.733,5.8,2110,9.74,1908,140,1,0.6,1,0,1
1291,21.733,5.8,2110,9.74,1908,140,1.109,0.6,0,0,1
1292,21.733,5.8,2110,9.74,1908,140,1.109,0.6,1,0,1
1314,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1315,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1316,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1317,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1318,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1319,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1320,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1321,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1322,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1323,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1324,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1325,8.093,12.6,10425,15.58,1946,120,1.022,0.87,1,0,0
1338,5.465,13,5186,15,1982,140,1,0.65,1,0,1
1339,5.622,13,4453,12.17,1982,140,1,0.65,0,0,1
1342,15.682,8.15,5026,11.43,1913,140,0.845,0.74,1,11.997,1
1343,12.612,8.45,4115,12.52,1951,140,0.845,0.67,1,11.997,1
1345,4.04,13.2,2802,13.95,1988,160,1.187,0.5,1,0,1
1346,8.339,8.4,1855,13.22,1988,160,1,0.44,1,0,0
1379,4.395,19.5,25366,22.41,1983,100,1.58,1.09,1,0,0
1388,7.847,10.4,4481,15.35,1911,80,0.849,0.86,0,0,1
1419,30.76,4.2,2285,19.15,1905,200,1.282,0.55,2,0,1
1422,12.953,6.6,2791,21.63,1928,160,1.106,0.515,2,0,1
